query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1516,71.789,7.1789
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1509,82.265,8.2265
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1517,61.182,6.1182
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1518,79.115,7.9115
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.15,67.334,6.7334
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1518,78.986,7.8986
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1527,67.045,6.7045
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1519,87.208,8.7208
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1507,72.608,7.2608
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.152,73.009,7.3009
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1499,66.774,6.6774
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1529,81.587,8.1587
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1538,73.354,7.3354
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1517,89.782,8.9782
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1507,74.474,7.4474
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1519,85.285,8.5285
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1518,83.245,8.3245
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1527,75.251,7.5251
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1506,85.404,8.5404
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1529,74.622,7.4622
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1516,88.783,8.8783
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1518,81.076,8.1076
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1507,87.765,8.7765
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1522,69.989,6.9989
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1505,80.852,8.0852
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1519,63.929,6.3929
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1508,99.758,9.9758
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.152,69.379,6.9379
"SELECT ?v0 ?v2 ?v3 ?v4 ?v5 WHERE {
	?v0 <http://og",0.1508,90.992,9.0992
